Round,Winning Number,Winning Color,Red Bet Win,Black Bet Win,Even Bet Win,Odd Bet Win,Zero Bet Win
1,36,Red,1,0,1,0,0
2,5,Red,1,0,0,1,0
3,28,Black,0,1,1,0,0
4,5,Red,1,0,0,1,0
5,22,Black,0,1,1,0,0
6,18,Red,1,0,1,0,0
7,17,Black,0,1,0,1,0
8,19,Red,1,0,0,1,0
9,30,Red,1,0,1,0,0
10,17,Black,0,1,0,1,0
11,4,Black,0,1,1,0,0
12,35,Black,0,1,0,1,0
13,16,Red,1,0,1,0,0
14,24,Black,0,1,1,0,0
15,21,Red,1,0,0,1,0
16,26,Black,0,1,1,0,0
17,32,Red,1,0,1,0,0
18,31,Black,0,1,0,1,0
19,5,Red,1,0,0,1,0
20,15,Black,0,1,0,1,0
21,34,Red,1,0,1,0,0
22,17,Black,0,1,0,1,0
23,27,Red,1,0,0,1,0
24,8,Black,0,1,1,0,0
25,31,Black,0,1,0,1,0
26,28,Black,0,1,1,0,0
27,28,Black,0,1,1,0,0
28,33,Black,0,1,0,1,0
29,3,Red,1,0,0,1,0
30,30,Red,1,0,1,0,0
31,26,Black,0,1,1,0,0
32,21,Red,1,0,0,1,0
33,34,Red,1,0,1,0,0
34,16,Red,1,0,1,0,0
35,34,Red,1,0,1,0,0
36,26,Black,0,1,1,0,0
37,24,Black,0,1,1,0,0
38,8,Black,0,1,1,0,0
39,32,Red,1,0,1,0,0
40,3,Red,1,0,0,1,0
41,27,Red,1,0,0,1,0
42,8,Black,0,1,1,0,0
43,5,Red,1,0,0,1,0
44,15,Black,0,1,0,1,0
45,33,Black,0,1,0,1,0
46,1,Red,1,0,0,1,0
47,28,Black,0,1,1,0,0
48,25,Red,1,0,0,1,0
49,7,Red,1,0,0,1,0
50,21,Red,1,0,0,1,0
51,30,Red,1,0,1,0,0
52,32,Red,1,0,1,0,0
53,24,Black,0,1,1,0,0
54,14,Red,1,0,1,0,0
55,27,Red,1,0,0,1,0
56,30,Red,1,0,1,0,0
57,10,Black,0,1,1,0,0
58,33,Black,0,1,0,1,0
59,0,Green,0,0,0,0,1
60,21,Red,1,0,0,1,0
61,24,Black,0,1,1,0,0
62,34,Red,1,0,1,0,0
63,27,Red,1,0,0,1,0
64,35,Black,0,1,0,1,0
65,14,Red,1,0,1,0,0
66,2,Black,0,1,1,0,0
67,18,Red,1,0,1,0,0
68,21,Red,1,0,0,1,0
69,2,Black,0,1,1,0,0
70,16,Red,1,0,1,0,0
71,30,Red,1,0,1,0,0
72,27,Red,1,0,0,1,0
73,30,Red,1,0,1,0,0
74,4,Black,0,1,1,0,0
75,20,Black,0,1,1,0,0
76,31,Black,0,1,0,1,0
77,11,Black,0,1,0,1,0
78,22,Black,0,1,1,0,0
79,10,Black,0,1,1,0,0
80,17,Black,0,1,0,1,0
81,36,Red,1,0,1,0,0
82,22,Black,0,1,1,0,0
83,13,Black,0,1,0,1,0
84,17,Black,0,1,0,1,0
85,20,Black,0,1,1,0,0
86,36,Red,1,0,1,0,0
87,19,Red,1,0,0,1,0
88,24,Black,0,1,1,0,0
89,20,Black,0,1,1,0,0
90,12,Red,1,0,1,0,0
91,20,Black,0,1,1,0,0
92,16,Red,1,0,1,0,0
93,13,Black,0,1,0,1,0
94,28,Black,0,1,1,0,0
95,23,Red,1,0,0,1,0
96,17,Black,0,1,0,1,0
97,34,Red,1,0,1,0,0
98,33,Black,0,1,0,1,0
99,24,Black,0,1,1,0,0
100,35,Black,0,1,0,1,0
101,28,Black,0,1,1,0,0
102,25,Red,1,0,0,1,0
103,28,Black,0,1,1,0,0
104,10,Black,0,1,1,0,0
105,35,Black,0,1,0,1,0
106,5,Red,1,0,0,1,0
107,16,Red,1,0,1,0,0
108,18,Red,1,0,1,0,0
109,5,Red,1,0,0,1,0
110,22,Black,0,1,1,0,0
111,15,Black,0,1,0,1,0
112,0,Green,0,0,0,0,1
113,31,Black,0,1,0,1,0
114,6,Black,0,1,1,0,0
115,1,Red,1,0,0,1,0
116,8,Black,0,1,1,0,0
