Round,Winning Number,Winning Color,Red Bet Win,Black Bet Win,Even Bet Win,Odd Bet Win,Zero Bet Win
1,31,Black,0,1,0,1,0
2,32,Red,1,0,1,0,0
3,6,Black,0,1,1,0,0
4,30,Red,1,0,1,0,0
5,5,Red,1,0,0,1,0
6,30,Red,1,0,1,0,0
7,0,Green,0,0,0,0,1
8,4,Black,0,1,1,0,0
9,20,Black,0,1,1,0,0
10,3,Red,1,0,0,1,0
11,10,Black,0,1,1,0,0
12,8,Black,0,1,1,0,0
13,16,Red,1,0,1,0,0
14,18,Red,1,0,1,0,0
15,9,Red,1,0,0,1,0
16,1,Red,1,0,0,1,0
17,16,Red,1,0,1,0,0
18,27,Red,1,0,0,1,0
19,32,Red,1,0,1,0,0
20,6,Black,0,1,1,0,0
21,5,Red,1,0,0,1,0
22,20,Black,0,1,1,0,0
23,28,Black,0,1,1,0,0
24,13,Black,0,1,0,1,0
25,3,Red,1,0,0,1,0
26,34,Red,1,0,1,0,0
27,24,Black,0,1,1,0,0
28,33,Black,0,1,0,1,0
29,26,Black,0,1,1,0,0
30,8,Black,0,1,1,0,0
31,2,Black,0,1,1,0,0
32,4,Black,0,1,1,0,0
33,21,Red,1,0,0,1,0
34,9,Red,1,0,0,1,0
35,0,Green,0,0,0,0,1
36,21,Red,1,0,0,1,0
37,29,Black,0,1,0,1,0
38,36,Red,1,0,1,0,0
39,31,Black,0,1,0,1,0
40,34,Red,1,0,1,0,0
41,19,Red,1,0,0,1,0
42,5,Red,1,0,0,1,0
43,2,Black,0,1,1,0,0
44,3,Red,1,0,0,1,0
45,13,Black,0,1,0,1,0
46,15,Black,0,1,0,1,0
47,35,Black,0,1,0,1,0
48,1,Red,1,0,0,1,0
49,25,Red,1,0,0,1,0
50,25,Red,1,0,0,1,0
51,18,Red,1,0,1,0,0
52,20,Black,0,1,1,0,0
53,14,Red,1,0,1,0,0
54,17,Black,0,1,0,1,0
55,35,Black,0,1,0,1,0
56,16,Red,1,0,1,0,0
57,34,Red,1,0,1,0,0
58,33,Black,0,1,0,1,0
59,12,Red,1,0,1,0,0
60,0,Green,0,0,0,0,1
61,25,Red,1,0,0,1,0
62,36,Red,1,0,1,0,0
63,29,Black,0,1,0,1,0
64,9,Red,1,0,0,1,0
65,14,Red,1,0,1,0,0
66,2,Black,0,1,1,0,0
67,23,Red,1,0,0,1,0
68,9,Red,1,0,0,1,0
69,11,Black,0,1,0,1,0
70,8,Black,0,1,1,0,0
71,9,Red,1,0,0,1,0
72,22,Black,0,1,1,0,0
73,17,Black,0,1,0,1,0
74,35,Black,0,1,0,1,0
75,9,Red,1,0,0,1,0
76,2,Black,0,1,1,0,0
77,13,Black,0,1,0,1,0
78,31,Black,0,1,0,1,0
79,22,Black,0,1,1,0,0
80,12,Red,1,0,1,0,0
81,19,Red,1,0,0,1,0
82,7,Red,1,0,0,1,0
83,23,Red,1,0,0,1,0
84,5,Red,1,0,0,1,0
85,25,Red,1,0,0,1,0
86,30,Red,1,0,1,0,0
87,31,Black,0,1,0,1,0
88,30,Red,1,0,1,0,0
89,32,Red,1,0,1,0,0
90,36,Red,1,0,1,0,0
91,25,Red,1,0,0,1,0
92,16,Red,1,0,1,0,0
93,34,Red,1,0,1,0,0
94,12,Red,1,0,1,0,0
95,25,Red,1,0,0,1,0
96,26,Black,0,1,1,0,0
97,25,Red,1,0,0,1,0
98,31,Black,0,1,0,1,0
99,27,Red,1,0,0,1,0
100,33,Black,0,1,0,1,0
101,29,Black,0,1,0,1,0
102,11,Black,0,1,0,1,0
103,0,Green,0,0,0,0,1
104,20,Black,0,1,1,0,0
105,16,Red,1,0,1,0,0
106,7,Red,1,0,0,1,0
107,36,Red,1,0,1,0,0
108,16,Red,1,0,1,0,0
109,29,Black,0,1,0,1,0
110,9,Red,1,0,0,1,0
111,13,Black,0,1,0,1,0
112,9,Red,1,0,0,1,0
113,22,Black,0,1,1,0,0
114,14,Red,1,0,1,0,0
115,22,Black,0,1,1,0,0
116,11,Black,0,1,0,1,0
117,36,Red,1,0,1,0,0
118,1,Red,1,0,0,1,0
119,30,Red,1,0,1,0,0
120,27,Red,1,0,0,1,0
121,15,Black,0,1,0,1,0
122,27,Red,1,0,0,1,0
123,5,Red,1,0,0,1,0
124,29,Black,0,1,0,1,0
125,14,Red,1,0,1,0,0
126,28,Black,0,1,1,0,0
127,24,Black,0,1,1,0,0
128,20,Black,0,1,1,0,0
129,2,Black,0,1,1,0,0
130,13,Black,0,1,0,1,0
131,19,Red,1,0,0,1,0
132,22,Black,0,1,1,0,0
133,16,Red,1,0,1,0,0
134,1,Red,1,0,0,1,0
135,26,Black,0,1,1,0,0
136,7,Red,1,0,0,1,0
137,31,Black,0,1,0,1,0
138,16,Red,1,0,1,0,0
139,6,Black,0,1,1,0,0
140,18,Red,1,0,1,0,0
141,17,Black,0,1,0,1,0
142,36,Red,1,0,1,0,0
143,10,Black,0,1,1,0,0
144,26,Black,0,1,1,0,0
145,24,Black,0,1,1,0,0
146,7,Red,1,0,0,1,0
147,12,Red,1,0,1,0,0
148,36,Red,1,0,1,0,0
149,8,Black,0,1,1,0,0
150,3,Red,1,0,0,1,0
151,23,Red,1,0,0,1,0
152,16,Red,1,0,1,0,0
153,18,Red,1,0,1,0,0
154,21,Red,1,0,0,1,0
155,13,Black,0,1,0,1,0
156,20,Black,0,1,1,0,0
157,16,Red,1,0,1,0,0
158,25,Red,1,0,0,1,0
159,24,Black,0,1,1,0,0
160,15,Black,0,1,0,1,0
161,14,Red,1,0,1,0,0
162,31,Black,0,1,0,1,0
163,36,Red,1,0,1,0,0
164,30,Red,1,0,1,0,0
165,1,Red,1,0,0,1,0
166,14,Red,1,0,1,0,0
167,32,Red,1,0,1,0,0
168,8,Black,0,1,1,0,0
169,33,Black,0,1,0,1,0
170,18,Red,1,0,1,0,0
171,25,Red,1,0,0,1,0
172,12,Red,1,0,1,0,0
173,22,Black,0,1,1,0,0
174,34,Red,1,0,1,0,0
175,15,Black,0,1,0,1,0
176,34,Red,1,0,1,0,0
177,28,Black,0,1,1,0,0
178,23,Red,1,0,0,1,0
179,34,Red,1,0,1,0,0
180,33,Black,0,1,0,1,0
181,35,Black,0,1,0,1,0
182,1,Red,1,0,0,1,0
183,22,Black,0,1,1,0,0
184,10,Black,0,1,1,0,0
185,29,Black,0,1,0,1,0
186,13,Black,0,1,0,1,0
187,32,Red,1,0,1,0,0
188,24,Black,0,1,1,0,0
189,6,Black,0,1,1,0,0
190,35,Black,0,1,0,1,0
191,10,Black,0,1,1,0,0
192,10,Black,0,1,1,0,0
193,8,Black,0,1,1,0,0
194,32,Red,1,0,1,0,0
195,1,Red,1,0,0,1,0
196,3,Red,1,0,0,1,0
197,34,Red,1,0,1,0,0
198,18,Red,1,0,1,0,0
199,7,Red,1,0,0,1,0
200,32,Red,1,0,1,0,0
201,13,Black,0,1,0,1,0
202,29,Black,0,1,0,1,0
203,35,Black,0,1,0,1,0
204,12,Red,1,0,1,0,0
205,2,Black,0,1,1,0,0
206,12,Red,1,0,1,0,0
207,25,Red,1,0,0,1,0
208,12,Red,1,0,1,0,0
209,21,Red,1,0,0,1,0
210,33,Black,0,1,0,1,0
211,3,Red,1,0,0,1,0
212,25,Red,1,0,0,1,0
213,4,Black,0,1,1,0,0
214,16,Red,1,0,1,0,0
215,25,Red,1,0,0,1,0
216,33,Black,0,1,0,1,0
217,8,Black,0,1,1,0,0
218,34,Red,1,0,1,0,0
219,29,Black,0,1,0,1,0
220,7,Red,1,0,0,1,0
221,12,Red,1,0,1,0,0
222,35,Black,0,1,0,1,0
223,35,Black,0,1,0,1,0
224,35,Black,0,1,0,1,0
225,15,Black,0,1,0,1,0
226,1,Red,1,0,0,1,0
227,34,Red,1,0,1,0,0
228,3,Red,1,0,0,1,0
229,19,Red,1,0,0,1,0
230,6,Black,0,1,1,0,0
231,24,Black,0,1,1,0,0
232,2,Black,0,1,1,0,0
233,14,Red,1,0,1,0,0
234,2,Black,0,1,1,0,0
235,18,Red,1,0,1,0,0
236,14,Red,1,0,1,0,0
237,18,Red,1,0,1,0,0
238,7,Red,1,0,0,1,0
239,28,Black,0,1,1,0,0
240,18,Red,1,0,1,0,0
241,24,Black,0,1,1,0,0
242,32,Red,1,0,1,0,0
243,11,Black,0,1,0,1,0
244,24,Black,0,1,1,0,0
245,29,Black,0,1,0,1,0
246,7,Red,1,0,0,1,0
247,7,Red,1,0,0,1,0
248,25,Red,1,0,0,1,0
249,5,Red,1,0,0,1,0
250,33,Black,0,1,0,1,0
251,10,Black,0,1,1,0,0
252,0,Green,0,0,0,0,1
253,22,Black,0,1,1,0,0
254,25,Red,1,0,0,1,0
255,31,Black,0,1,0,1,0
256,25,Red,1,0,0,1,0
257,27,Red,1,0,0,1,0
258,10,Black,0,1,1,0,0
259,22,Black,0,1,1,0,0
260,30,Red,1,0,1,0,0
261,2,Black,0,1,1,0,0
262,17,Black,0,1,0,1,0
263,20,Black,0,1,1,0,0
264,18,Red,1,0,1,0,0
265,4,Black,0,1,1,0,0
266,35,Black,0,1,0,1,0
267,4,Black,0,1,1,0,0
268,23,Red,1,0,0,1,0
269,19,Red,1,0,0,1,0
270,0,Green,0,0,0,0,1
271,27,Red,1,0,0,1,0
272,28,Black,0,1,1,0,0
273,29,Black,0,1,0,1,0
274,7,Red,1,0,0,1,0
275,25,Red,1,0,0,1,0
276,8,Black,0,1,1,0,0
277,7,Red,1,0,0,1,0
278,25,Red,1,0,0,1,0
279,18,Red,1,0,1,0,0
280,18,Red,1,0,1,0,0
281,14,Red,1,0,1,0,0
282,11,Black,0,1,0,1,0
283,10,Black,0,1,1,0,0
284,23,Red,1,0,0,1,0
285,21,Red,1,0,0,1,0
286,21,Red,1,0,0,1,0
287,27,Red,1,0,0,1,0
288,27,Red,1,0,0,1,0
289,8,Black,0,1,1,0,0
290,32,Red,1,0,1,0,0
291,12,Red,1,0,1,0,0
292,30,Red,1,0,1,0,0
293,33,Black,0,1,0,1,0
294,32,Red,1,0,1,0,0
295,12,Red,1,0,1,0,0
296,16,Red,1,0,1,0,0
297,14,Red,1,0,1,0,0
298,21,Red,1,0,0,1,0
299,19,Red,1,0,0,1,0
300,23,Red,1,0,0,1,0
301,25,Red,1,0,0,1,0
302,25,Red,1,0,0,1,0
303,0,Green,0,0,0,0,1
304,11,Black,0,1,0,1,0
305,30,Red,1,0,1,0,0
306,21,Red,1,0,0,1,0
307,35,Black,0,1,0,1,0
308,0,Green,0,0,0,0,1
309,29,Black,0,1,0,1,0
310,19,Red,1,0,0,1,0
311,13,Black,0,1,0,1,0
312,10,Black,0,1,1,0,0
313,35,Black,0,1,0,1,0
314,34,Red,1,0,1,0,0
